id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
1;Acrelândia;Água Branca;Alvarães;Serra do Navio;Abaíra;Abaiara;Brasília;Afonso Cláudio;Abadia de Goiás;Açailândia;Abadia Dos Dourados;Água Clara;Acorizal;Abaetetuba;Abatiá;Água Branca;Abreu e Lima;Acauã;Angra Dos Reis;Acari;Aceguá;Alta Floresta D´oeste;Amajari;Abdon Batista;Adamantina;Amparo de São Francisco;Abreulândia
2;Assis Brasil;Anadia;Amaturá;Amapá;Abaré;Acarapé;;Águia Branca;Abadiânia;Afonso Cunha;Abaeté;Alcinópolis;Água Boa;Abel Figueiredo;Adrianópolis;Aguiar;Afogados da Ingazeira;Agricolândia;Aperibé;Açu;Água Santa;Ariquemes;Alto Alegre;Abelardo Luz;Adolfo;Aquidabã;Aguiarnópolis
3;Brasiléia;Arapiraca;Anamã;Pedra Branca do Amapari;Acajutiba;Acaraú;;Água Doce do Norte;Acreúna;Água Doce do Maranhão;Abre Campo;Amambaí;Alta Floresta;Acará;Agudos do Sul;Alagoa Grande;Afrânio;Água Branca;Araruama;Afonso Bezerra;Agudo;Cabixi;Boa Vista;Agrolândia;Aguaí;Aracaju;Aliança do Tocantins
4;Bujari;Atalaia;Anori;Calçoene;Adustina;Acopiara;;Alegre;Adelândia;Alcântara;Acaiaca;Anastácio;Alto Araguaia;Afuá;Almirante Tamandaré;Alagoa Nova;Agrestina;Alagoinha do Piauí;Areal;Água Nova;Ajuricaba;Cacoal;Bonfim;Agronômica;Águas da Prata;Arauá;Almas
5;Capixaba;Barra de Santo Antônio;Apuí;Cutias;Água Fria;Aiuaba;;Alfredo Chaves;Água Fria de Goiás;Aldeias Altas;Açucena;Anaurilândia;Alto Boa Vista;Água Azul do Norte;Altamira do Paraná;Alagoinha;Água Preta;Alegrete do Piauí;Armação Dos Búzios;Alexandria;Alecrim;Cerejeiras;Cantá;Água Doce;Águas de Lindóia;Areia Branca;Alvorada
6;Cruzeiro do Sul;Barra de São Miguel;Atalaia do Norte;Ferreira Gomes;Érico Cardoso;Alcântaras;;Alto Rio Novo;Água Limpa;Altamira do Maranhão;Água Boa;Angélica;Alto Garças;Alenquer;Altônia;Alcantil;Águas Belas;Alto Longá;Arraial do Cabo;Almino Afonso;Alegrete;Colorado do Oeste;Caracaraí;Águas de Chapecó;Águas de Santa Bárbara;Barra Dos Coqueiros;Ananás
7;Epitaciolândia;Batalha;Autazes;Itaubal;Aiquara;Altaneira;;Anchieta;Águas Lindas de Goiás;Alto Alegre do Maranhão;Água Comprida;Antônio João;Alto Paraguai;Almeirim;Alto Paraná;Algodão de Jandaíra;Alagoinha;Altos;Barra do Piraí;Alto do Rodrigues;Alegria;Corumbiara;Caroebe;Águas Frias;Águas de São Pedro;Boquim;Angico
8;Feijó;Belém;Barcelos;Laranjal do Jari;Alagoinhas;Alto Santo;;Apiacá;Alexânia;Alto Alegre do Pindaré;Aguanil;Aparecida do Taboado;Alto Taquari;Altamira;Alto Piquiri;Alhandra;Aliança;Alvorada do Gurguéia;Barra Mansa;Angicos;Almirante Tamandaré do Sul;Costa Marques;Iracema;Águas Mornas;Agudos;Brejo Grande;Aparecida do Rio Negro
9;Jordão;Belo Monte;Barreirinha;Macapá;Alcobaça;Amontada;;Aracruz;Aloândia;Alto Parnaíba;Águas Formosas;Aquidauana;Apiacás;Anajás;Alvorada do Sul;São João do Rio do Peixe;Altinho;Amarante;Belford Roxo;Antônio Martins;Alpestre;Espigão D´oeste;Mucajaí;Alfredo Wagner;Alambari;Campo do Brito;Aragominas
10;Mâncio Lima;Boca da Mata;Benjamin Constant;Mazagão;Almadina;Antonina do Norte;;Atilio Vivacqua;Alto Horizonte;Amapá do Maranhão;Águas Vermelhas;Aral Moreira;Araguaiana;Ananindeua;Amaporã;Amparo;Amaraji;Angical do Piauí;Bom Jardim;Apodi;Alto Alegre;Guajará-mirim;Normandia;Alto Bela Vista;Alfredo Marcondes;Canhoba;Araguacema
