id;tipo
1;Afegão
2;Sul-africano
3;Albanês
4;Alemão
5;Andorrano
6;Angolano
7;Anguilano
8;Antiguano
9;Antilhano
10;Árabe-saudita
11;Argelino
12;Argentino
13;Arménio
14;Arubano
15;Australiano
16;Austríaco
17;Azeri
18;Baamiano
19;Barenita
20;Bangladechiano
21;Barbadense
22;Belga
23;Belizenho
24;Benineseo
25;Bermudense
26;Bielorrusso
27;Boliviano
28;Bósnio
29;Botsuano
30;Brasileiro
31;Brasileira
32;Bruneíno
33;Búlgaro
34;Burquino
35;Burundiano
36;Butanês
37;Cabo-verdiano
38;Camaronês
39;Cambojano
40;Canadense
41;Cazaque
42;Chadiano
43;Chileno
44;Chinês
45;Cipriota
46;Colombiano
47;Comoriano
48;Congolês
49;Norte-coreano
50;Sul-coreano
51;Marfinense
52;Costarriquenho
53;Croata
54;Cubano
55;Curaçauense
56;Dinamarquês
57;Jibutiano
58;Dominiquês
59;Egípcio
60;Salvadorenho
61;Emiradense
62;Equatoriano
63;Eritreu(
64;Escocês
65;Eslovaco
66;Esloveno
67;Espanhol
68;Micronésio
69;Norte-americano
70;Estónio
71;Etíope
72;Fijiano
73;Filipino
74;Finlandês
75;Francês
76;Gabonês
77;Gambiano
78;Ganês
79;Georgiano
80;Granadino
81;Grego
82;Guadalupense
83;Guamês
84;Guatemalteco
85;Guianês
86;Guianense
87;Guineano
88;Guinéu-equatoriano
89;Guiné-Guineense
90;Haitiano
91;Hondurenho
92;Honconguês
93;Húngaro
94;Iemenita
95;Caimanês
96;Cookense
97;Faroense
98;Salomonense
99;Virginense
100;Virginense
101;Indiano
102;Indonésia
103;Inglês
104;Iraniano
105;Iraquiano
106;Irlandês
107;Norte-irlandês
108;Islandês
109;Israelense
110;Italiano
111;Jamaicano
112;Japonês
113;Jordano
114;Quiribatiano
115;Kosovar
116;Kuwaitiano
117;Laociano
118;Lesotiano
119;Letão
120;Libanês
121;Liberiano
122;Líbio
123;Listenstainiano
124;Lituano
125;Luxemburguês
126;Macaense
127;Macedónico
128;Malgaxe
129;Malaio
130;Malauiano
131;Maldivo
132;Maliano
133;Maltês
134;Marroquino
135;Martinicano
136;Mauriciano
137;Mauritano
138;Mexicano
139;Birmanês
140;Moçambicano
141;Moldavo
142;Monegasco
143;Mongol
144;Montenegrino
145;Monserratense
146;Namibiano
147;Nauruano
148;Nepalês
149;Nicaraguense
150;Nigerino
151;Nigeriano
152;Norueguês
153;Neocaledónio
154;Neozelandês
155;Omanense
156;Galês
157;Neerlandês
158;Palauano
159;Palestiniano
160;Panamenho
161;Papua
162;Paquistanês
163;Paraguaio
164;Peruano
165;Polinésio
166;Polonês
167;Porto-riquenho
168;Português
169;Portuguesa
170;Catariano
171;Queniano
172;Quirguiz
173;Britânico
174;Centro-africano
175;Tcheco
176;Taiwanês
177;Romeno
178;Ruandês
179;Russo
180;São-martinhense
181;Samoano
182;Samoense
183;Santa-luciense
184;São-cristovense
185;São-marinhense
186;São-tomense
187;São-vicentino
188;Senegalês
189;Serra-leonês
190;Sérvio
191;Seichelense
192;Singapurense
193;São-martinhense
194;Sírio
195;Somali
196;Cingalês
197;Essuatiniano
198;Sudanês
199;Sueco
200;Suíço
201;Surinamês
202;Tajique
203;Tailandês
204;Taiwanês
205;Tanzaniano
206;Timorense
207;Togolês
208;Tonganês
209;Trinitário-tobagense
210;Tunisino
211;Turquense
212;Turquemeno
213;Turco
214;Tuvaluano
215;Ucraniano
216;Ugandense
217;Uruguaio
218;Usbeque
219;Vanuatuense
220;Vaticano
221;Venezuelano
222;Vietnamita
223;Zambiano
224;Zimbabuano
