id;tipo
1;Análise contratual
2;Análise de viabilidade
3;Aquisição de quotas
4;Assessoria tributária
5;Assessoria de compra e venda de bens móveis
6;Assessoria de compra e venda de estabelecimento comercial
7;Assessoria de compra e venda de imóveis
8;Assessoria de renovação de contrato de locação
9;Assessoria imobiliária
10;Cessão de direitos aquisitivos
11;Cobrança
12;Consultoria
13;Contrato social
14;Departamento pessoal
15;Empreendimentos imobiliários
16;Imposto de renda
17;Legalização de empresa
18;Registro de carta de sentença
19;Registro de patente
20;Registro imobiliário (RGI)
21;Sindicância Administrativa
